,Model,Cl_0_sensibilite,Cl_0_Specificite,Cl_1_sensibilite,Cl_1_Specificite,Cl_2_sensibilite,Cl_2_Specificite,Cl_3_sensibilite,Cl_3_Specificite
50,pass_2_model_OK_1__2D___2022-05-22T18-49-47__.h5_ep_02_loss_0.006683.h5,0.9996221993423525,0.6810301571023781,0.6273469787174314,0.999182397994448,0.5877813676537342,0.9996980773708463,0.4284001844167819,0.9999872573526961
51,pass_2_model_OK_1__2D___2022-05-22T18-49-47__.h5_ep_02_loss_0.006469.h5,0.9996477893936881,0.6414005628264033,0.7011435513253789,0.9990665945728943,0.19186809895364726,0.9999408542459355,0.27879207007837714,0.9999906859759403
52,pass_2_model_OK_1__2D___2022-05-22T18-49-47__.h5_ep_03_loss_0.005535.h5,0.9997885026083009,0.4794343252642492,0.48703088843924863,0.9996475579822508,0.3436815409816653,0.9998493473193268,0.2975103734439834,0.999995249425188
53,pass_2_model_OK_1__2D___2022-05-22T18-49-47__.h5_ep_04_loss_0.005519.h5,0.9997521775014162,0.5196055110638318,0.5836655388318821,0.9995814720580675,0.1853691722401329,0.999873859508086,0.26265560165975105,0.9999966800303093
54,Pass_2_model_OK_1__2D___2022-05-22T18-49-47__.h5_ep_05_loss_0.004946.h5,0.9998508392281615,0.47266468644607235,0.5406829413588514,0.9997210422891526,0.14626067917150876,0.9998839929879224,0.12166897187644075,0.9999962363616324
55,pass_3_model_OK_1__2D___2022-05-23T15-16-38__.h5_ep_01_loss_0.005502.h5,0.9996796922074193,0.6056381668377537,0.583640497802485,0.9994203006206263,0.4584134863758209,0.9996536219854308,0.23019824804057168,0.9999945582678614
56,pass_3_model_OK_1__2D___2022-05-23T15-16-38__.h5_ep_01_loss_0.005281.h5,0.9996725212513938,0.6040445299511342,0.6141902241798157,0.9992911076188213,0.3818287780090623,0.9998750668112973,0.2809589672660212,0.9999975130408862
57,pass_3_model_OK_1__2D___2022-05-23T15-16-38__.h5_ep_01_loss_0.005210.h5,0.9994334914199298,0.7619618476591352,0.6911432844407235,0.9992549837740126,0.6634988558963423,0.999300668858385,0.5053480866758875,0.9999544651066146
58,pass_3_model_OK_1__2D___2022-05-23T15-16-38__.h5_ep_04_loss_0.004812.h5,0.9997507634670723,0.5886068744860368,0.5946503135565214,0.999528044708844,0.42323940964019074,0.9998460219403061,0.4107422775472568,0.9999887453027484
59,pass_3_model_OK_1__2D___2022-05-23T15-16-38__.h5_ep_04_loss_0.004267.h5,0.9997806231080686,0.5652288543220892,0.5682745313950258,0.9996700881744979,0.43399201042986024,0.9997995755636299,0.4008298755186722,0.9999859836915966
60,pass_3_model_OK_1__2D___2022-05-23T15-16-38__.h5_ep_04_loss_0.004150.h5,0.9997927294409836,0.5191614162235502,0.5324658593570584,0.9996842392185941,0.36897371986352023,0.9998387539144575,0.36897187644075613,0.9999904807414504
61,pass_3_model_OK_1__2D___2022-05-23T15-16-38__.h5_ep_04_loss_0.004113.h5,0.9998063047815,0.503882001448668,0.5236079246950348,0.9996504271780189,0.3113900714324689,0.99984553478287,0.4089903181189488,0.99998309833612
62,pass_3_model_OK_1__2D___2022-05-23T15-16-38__.h5_ep_05_loss_0.003994.h5,0.9998164015364488,0.5322338838237689,0.5303574705792616,0.9997400453808694,0.4186560293856436,0.9997699920962185,0.41406177962194557,0.9999853770425895
63,pass_3_model_OK_1__2D___2022-05-23T15-16-38__.h5_ep_05_loss_0.003884.h5,0.9997585941021867,0.5930445049388962,0.5797607856820666,0.9996379208958279,0.4886361657493328,0.9997289891743724,0.40599354541263255,0.9999851808625623
64,pass_3_model_OK_1__2D___2022-05-23T15-16-38__.h5_ep_05_loss_0.003834.h5,0.9997866671123166,0.5451521943644875,0.5201354587895496,0.9997650457618298,0.5100450095370995,0.9997084983038282,0.4113877362840018,0.9999835721863394
65,pass_3_model_OK_1__2D___2022-05-23T15-16-38__.h5_ep_06_loss_0.003792.h5,0.9997615504418088,0.5609903008665975,0.5422117621009951,0.999720076752997,0.49117397457315237,0.9996924432891935,0.4140156754264638,0.9999853679881266
66,Pass_3_model_OK_1__2D___2022-05-23T15-16-38__.h5_ep_06_loss_0.003551.h5,0.9997549719753358,0.6143472750187464,0.5568004681354548,0.9997142652609318,0.6431104759494435,0.9995904095258124,0.4050714615029968,0.9999834816417115
67,model_OK_1_Pass4__2022-05-25T07-04-37__.h5_ep_01_loss_0.003756.h5,0.9997639142918785,0.5901165417160743,0.5549919127359664,0.9996931026577504,0.5482502934268894,0.9996479939554231,0.41844167819271555,0.9999800832000099
68,model_OK_1_Pass4__2022-05-25T07-04-37__.h5_ep_01_loss_0.003631.h5,0.9997809468394735,0.5543071839741996,0.5363281086543445,0.9997259826665792,0.49298271480531664,0.9997395402177254,0.4119409866297833,0.9999814081697319
69,model_OK_1_Pass4__2022-05-25T07-04-37__.h5_ep_02_loss_0.003495.h5,0.9997787631795254,0.6128929920302842,0.5780543713235403,0.9996393006683152,0.5710000197359332,0.9997146407236753,0.39797141539880126,0.9999813115887954
70,model_OK_1_Pass4__2022-05-25T07-04-37__.h5_ep_02_loss_0.003447.h5,0.9998004623458627,0.602219402248345,0.5594007813460147,0.9997182796983227,0.5741902752930496,0.9996209945404992,0.42010142923005994,0.999982995718875
71,model_OK_1_Pass4__2022-05-25T10-15-57__.h5_ep_01_loss_0.003710.h5,0.9997627629075422,0.6460901022490085,0.5773486096792145,0.9997244231886245,0.6966958564988687,0.9995342744652197,0.38372521899492856,0.9999878730561661
72,model_OK_1_Pass4__2022-05-25T10-15-57__.h5_ep_01_loss_0.003691.h5,0.9997534052374989,0.5815825192019973,0.5481435206830666,0.999667797691252,0.5654193943854753,0.999737670259368,0.40848317196864914,0.9999874927687288
73,model_OK_1_Pass4__2022-05-25T10-15-57__.h5_ep_01_loss_0.003647.h5,0.9997893577478609,0.532513867754682,0.5058222040784588,0.9996994167159534,0.4998415320656673,0.9997707999908487,0.41724296911018904,0.999981317625104
74,model_OK_1_Pass4__2022-05-25T10-15-57__.h5_ep_01_loss_0.003610.h5,0.9998041699866697,0.5498419890140125,0.543666118729405,0.9997334054161406,0.46796799992570004,0.9998092400409656,0.39391424619640386,0.9999812874435613
75,model_OK_1_Pass4__2022-05-25T10-15-57__.h5_ep_02_loss_0.003328.h5,0.9997962232969005,0.6169613091303346,0.5791364073832816,0.9996732650016593,0.5959102502632425,0.9997380575646588,0.452189949285385,0.9999716655677667
76,model_OK_1_Pass4__2022-05-25T10-15-57__.h5_ep_03_loss_0.003098.h5,0.9997839459360736,0.5946008786952391,0.5405537823651186,0.9997347151339541,0.5979000967060727,0.9995697703899616,0.39986168741355466,0.9999792471712787
